date,channel,campaign,region,spend,impressions,clicks,conversions
2025-11-12,Email,Industry Vertical Focus,EMEA,708.28,354140,11828,382
2024-09-06,Webinars,Q4 Renewal Push,North America,2551.15,102046,2220,37
2025-02-01,Events,Partner Co-Marketing,APAC,6161.64,102694,2911,203
2024-05-28,LinkedIn,Security Compliance Push,EMEA,8909.0,494944,12282,335
2026-02-10,Webinars,Cloud Migration Series,APAC,3794.47,151778,2917,182
2024-02-13,Email,AI Solutions Roadshow,North America,1179.72,589860,22165,827
2025-09-12,Google Ads,Q3 Product Launch,EMEA,11514.12,1439265,32864,1263
2026-02-12,Content,Q3 Product Launch,North America,1851.02,370204,8292,126
2025-09-06,LinkedIn,AI Solutions Roadshow,North America,2410.87,133937,4849,97
2025-10-18,LinkedIn,Cloud Migration Series,North America,3822.0,212333,5893,465
2024-12-15,Email,Partner Co-Marketing,EMEA,1496.74,748370,26146,1121
2025-05-14,Webinars,Industry Vertical Focus,EMEA,4130.56,165222,4325,243
2025-08-10,Google Ads,Security Compliance Push,North America,9037.67,1129708,44208,2090
2025-09-23,Content,Q2 Lead Gen,North America,1243.71,248742,3605,108
2025-06-09,Google Ads,Cloud Migration Series,APAC,5511.98,688997,9218,215
2024-11-09,Google Ads,Cloud Migration Series,EMEA,6350.78,793847,11301,448
2025-11-05,Google Ads,Industry Vertical Focus,APAC,3737.07,467133,14923,457
2025-12-04,Content,Cloud Migration Series,EMEA,1926.97,385394,4684,198
2025-06-16,Google Ads,Q2 Lead Gen,EMEA,10811.0,1351375,36961,901
2026-03-19,Content,Cloud Migration Series,North America,2153.95,430789,9646,262
2025-05-10,Content,Annual Summit,APAC,1701.79,340358,5768,160
2024-03-14,Email,Q2 Lead Gen,LATAM,1360.79,680395,26831,274
2024-07-12,Email,Security Compliance Push,EMEA,1588.29,794145,20191,593
2025-08-04,Webinars,Q4 Renewal Push,North America,4335.15,173405,4679,207
2024-04-20,Webinars,AI Solutions Roadshow,North America,1300.45,52018,589,20
2026-03-31,LinkedIn,Q1 Brand Awareness,APAC,3796.96,210942,5104,146
2026-03-13,LinkedIn,AI Solutions Roadshow,North America,8217.44,456524,11335,121
2024-12-11,Events,Annual Summit,North America,9421.06,157017,1996,104
2026-02-08,Email,Partner Co-Marketing,North America,622.54,311270,1806,91
2026-02-19,Google Ads,Q3 Product Launch,APAC,10321.15,1290143,15623,830
2024-06-13,LinkedIn,Industry Vertical Focus,EMEA,8846.44,491468,7097,312
